date,exchange,sh_volume
2002-02-20,NASDAQ,2029499718.0
2002-02-21,NASDAQ,1978076267.0
2002-02-22,NASDAQ,1988632879.0
2002-02-25,NASDAQ,1787510082.0
2002-02-26,NASDAQ,1781053649.0
2002-02-27,NASDAQ,1943674319.0
2002-02-28,NASDAQ,2026627110.0
2002-03-01,NASDAQ,1969950766.0
2002-03-04,NASDAQ,2267877522.0
2002-03-05,NASDAQ,2143326889.0
2002-03-06,NASDAQ,1987862455.0
2002-03-07,NASDAQ,1989496236.0
2002-03-08,NASDAQ,2137218116.0
2002-03-11,NASDAQ,1799162478.0
2002-03-12,NASDAQ,1851912516.0
2002-03-13,NASDAQ,1754381180.0
2002-03-14,NASDAQ,1549948006.0
2002-03-15,NASDAQ,1729751311.0
2002-03-18,NASDAQ,1639711008.0
2002-03-19,NASDAQ,1594681874.0
2002-03-20,NASDAQ,1614491459.0
2002-03-21,NASDAQ,1676073689.0
2002-03-22,NASDAQ,1544750039.0
2002-03-25,NASDAQ,1543313324.0
2002-03-26,NASDAQ,1752902050.0
2002-03-27,NASDAQ,1697818307.0
2002-03-28,NASDAQ,1678389011.0
2002-04-01,NASDAQ,1616446998.0
2002-04-02,NASDAQ,1784220432.0
2002-04-03,NASDAQ,1788071879.0
2002-04-04,NASDAQ,1843531808.0
2002-04-05,NASDAQ,1583280148.0
2002-04-08,NASDAQ,1684849637.0
2002-04-09,NASDAQ,1761618630.0
2002-04-10,NASDAQ,2053821544.0
2002-04-11,NASDAQ,1822899122.0
2002-04-12,NASDAQ,1622576166.0
2002-04-15,NASDAQ,1446726077.0
2002-04-16,NASDAQ,1916925351.0
2002-04-17,NASDAQ,2026480416.0
2002-04-18,NASDAQ,2023633157.0
2002-04-19,NASDAQ,1769659620.0
2002-04-22,NASDAQ,1789267237.0
2002-04-23,NASDAQ,2023756667.0
2002-04-24,NASDAQ,2027746749.0
2002-04-25,NASDAQ,2095688682.0
2002-04-26,NASDAQ,2009850915.0
2002-04-29,NASDAQ,1938699825.0
2002-04-30,NASDAQ,2174449764.0
2002-05-01,NASDAQ,2248258798.0
2002-05-02,NASDAQ,2099993693.0
2002-05-03,NASDAQ,2044920354.0
2002-05-06,NASDAQ,1868708971.0
2002-05-07,NASDAQ,2192415297.0
2002-05-08,NASDAQ,2536490652.0
2002-05-09,NASDAQ,1903701149.0
2002-05-10,NASDAQ,1959114246.0
2002-05-13,NASDAQ,1756649249.0
2002-05-14,NASDAQ,2745118840.0
2002-05-15,NASDAQ,2452639203.0
2002-05-16,NASDAQ,1740811323.0
2002-05-17,NASDAQ,1760526084.0
2002-05-20,NASDAQ,1498362343.0
2002-05-21,NASDAQ,1740659981.0
2002-05-22,NASDAQ,1788875144.0
2002-05-23,NASDAQ,1870573888.0
2002-05-24,NASDAQ,1276887625.0
2002-05-28,NASDAQ,1392411542.0
2002-05-29,NASDAQ,1486550702.0
2002-05-30,NASDAQ,1657695431.0
2002-05-31,NASDAQ,1751214258.0
2002-06-03,NASDAQ,1670929747.0
2002-06-04,NASDAQ,1942962448.0
2002-06-05,NASDAQ,1706918592.0
2002-06-06,NASDAQ,1721260374.0
2002-06-07,NASDAQ,2248305698.0
2002-06-10,NASDAQ,1590627655.0
2002-06-11,NASDAQ,1802601636.0
2002-06-12,NASDAQ,2215278718.0
2002-06-13,NASDAQ,1696587966.0
2002-06-14,NASDAQ,1960368475.0
2002-06-17,NASDAQ,1668960161.0
2002-06-18,NASDAQ,1660366886.0
2002-06-19,NASDAQ,1799997226.0
2002-06-20,NASDAQ,1842992394.0
2002-06-21,NASDAQ,2118527166.0
2002-06-24,NASDAQ,2228352711.0
2002-06-25,NASDAQ,2095556219.0
2002-06-26,NASDAQ,2204460237.0
2002-06-27,NASDAQ,2084964900.0
2002-06-28,NASDAQ,3060836995.0
2002-07-01,NASDAQ,3150979856.0
2002-07-02,NASDAQ,2868990026.0
2002-07-03,NASDAQ,2875557102.0
2002-07-05,NASDAQ,1212282244.0
2002-07-08,NASDAQ,1798064032.0
2002-07-09,NASDAQ,1823075795.0
2002-07-10,NASDAQ,1991032451.0
2002-07-11,NASDAQ,2507754977.0
2002-07-12,NASDAQ,2148778447.0
2002-07-15,NASDAQ,2297937876.0
2002-07-16,NASDAQ,2537580521.0
2002-07-17,NASDAQ,2519465037.0
2002-07-18,NASDAQ,2029520400.0
2002-07-19,NASDAQ,2642707796.0
2002-07-22,NASDAQ,2593911792.0
2002-07-23,NASDAQ,2609228064.0
2002-07-24,NASDAQ,2766540437.0
2002-07-25,NASDAQ,2611320100.0
2002-07-26,NASDAQ,1863526638.0
2002-07-29,NASDAQ,2109536456.0
2002-07-30,NASDAQ,1885355445.0
2002-07-31,NASDAQ,1756542183.0
2002-08-01,NASDAQ,1675196164.0
2002-08-02,NASDAQ,1566614463.0
2002-08-05,NASDAQ,1484663299.0
2002-08-06,NASDAQ,1678840963.0
2002-08-07,NASDAQ,1709099243.0
2002-08-08,NASDAQ,1646828933.0
2002-08-09,NASDAQ,1394164126.0
2002-08-12,NASDAQ,1148776743.0
2002-08-13,NASDAQ,1676251381.0
2002-08-14,NASDAQ,1772475368.0
2002-08-15,NASDAQ,1806028025.0
2002-08-16,NASDAQ,1528317179.0
2002-08-19,NASDAQ,1600196175.0
2002-08-20,NASDAQ,1530082344.0
2002-08-21,NASDAQ,1645288948.0
2002-08-22,NASDAQ,1773829703.0
2002-08-23,NASDAQ,1461447044.0
2002-08-26,NASDAQ,1366147459.0
