date,total_sh_volume,total_dollar_volume,vix_close,target_5d,target_21d
2018-06-08,4956453886.0,231064433358.5937,12.18,1438240939932.052,5483016720899.559
2018-06-11,5128282269.0,229072677083.22784,12.35,1457840929836.1228,5472590857608.173
2018-06-12,5362756946.0,247067754473.93628,12.34,1500359790568.5596,5460997632550.7705
2018-06-13,5930229415.0,282985093234.966,12.94,1479875566003.2593,5386293585964.881
2018-06-14,5640217930.0,269434711809.8173,12.12,1474233855599.7803,5330380666079.827
2018-06-15,8383996618.0,409680703330.1046,11.98,1447761074013.9624,5169466950354.553
2018-06-18,5335632691.0,248672666987.2985,12.31,1506067873759.5725,5160346311311.47
2018-06-19,5829458064.0,289586615206.37305,13.35,1475487659568.3257,5117956051683.951
2018-06-20,5516171589.0,262500868669.6659,12.79,1488105099500.164,5095301760281.536
2018-06-21,5586177256.0,263793001406.3383,14.64,1482495957703.409,5057036027990.913
2018-06-22,9374075693.0,383207921744.28674,13.77,1369266179452.1323,4951222014640.074
2018-06-25,5997634887.0,306979466732.90845,17.33,1285935905916.0024,4929119197491.46
2018-06-26,5541971867.0,259006401015.12646,15.92,1168147683931.011,4992656826669.162
2018-06-27,6008598638.0,275118308601.5041,17.91,1111549456005.5032,5004513888000.65
2018-06-28,5547636019.0,258183859609.5833,16.85,1055772691064.746,5025362135639.927
2018-06-29,5714477338.0,269978143493.00995,16.09,1010598470239.6725,5055704638170.773
2018-07-02,4794307167.0,223649193196.7785,15.6,1004099334304.634,5112486959385.031
2018-07-03,3019214457.0,141218179030.13507,16.14,1081527969066.3401,5250203549603.069
2018-07-05,4644793339.0,218520080675.99625,14.97,1098482417806.8778,5264459146946.538
2018-07-06,4220721117.0,202407094668.82617,13.37,1104356369787.1274,5286429795229.544
2018-07-09,4834330185.0,224803922667.93655,12.69,1093074239043.9556,5305957510963.799
2018-07-10,4713529194.0,217150057261.74,12.64,1124691169387.0452,5314524213026.431
2018-07-11,4653634506.0,218646813791.8412,13.63,1145596383539.4202,5328368308857.077
2018-07-12,4673987134.0,235474529416.53397,12.58,1157318209701.741,5329350348546.63
2018-07-13,4262231395.0,208281046649.0757,12.18,1188883740319.9153,5343666041031.343
2018-07-16,4474815816.0,213521791924.76483,12.83,1200889217510.8657,5352047326505.68
2018-07-17,4743957749.0,248766987604.8296,12.06,1229516138299.4834,5384559074911.043
2018-07-18,4918318722.0,239552027944.2161,12.1,1274840759939.5618,5386527893211.383
2018-07-19,5080015763.0,247196355578.8548,12.87,1350188434553.5356,5378973634205.558
2018-07-20,4882149899.0,239846577267.2499,12.86,1397317227219.2783,5357545393698.004
2018-07-23,4526217828.0,225527269115.71536,12.62,1450822065352.4224,5369448048980.389
2018-07-24,5374092255.0,277393908393.4474,12.41,1473748802982.8308,5294013477188.345
2018-07-25,5457159028.0,284876649584.2943,12.29,1469303667809.574,5224975955209.084
2018-07-26,5885961854.0,322544030192.8288,12.14,1425694406864.9194,5110208246660.921
2018-07-27,5539102339.0,286975369932.9923,13.03,1371494714951.391,5057372970167.664
2018-07-30,5362893783.0,279032107248.8594,14.26,1316840350654.3638,4992748563867.484
2018-07-31,6018363335.0,300320646023.85626,12.83,1260851343032.6987,4918030154904.9
2018-08-01,5642844514.0,280431514411.0373,13.15,1206136587946.033,4872800283669.06
2018-08-02,5521621426.0,278934769248.17395,12.19,1159692728320.3467,4828181536706.134
2018-08-03,4997645542.0,232775678019.46448,11.64,1163373619406.9695,4848223148535.362
2018-08-06,5063372064.0,224377742951.8318,11.27,1161592615588.927,4913579577007.0
2018-08-07,5298186265.0,244331638402.1912,10.93,1139164054585.8372,4938252731429.03
2018-08-08,4972781825.0,225716759324.3716,10.85,1194726031271.6577,4964554313128.956
2018-08-09,5042175909.0,232490909622.48773,11.27,1203755967893.7268,4962452050688.697
2018-08-10,5255448690.0,236456569106.08707,13.16,1206941495360.67,4966389290316.311
2018-08-13,4986753201.0,222596739133.78943,14.78,1202763092986.5762,5007311782037.268
2018-08-14,4851431172.0,221903077399.1014,13.31,1218289939985.5745,5043348506077.966
2018-08-15,5841065226.0,281278736010.1919,14.64,1138970540576.7866,5002953772140.392
2018-08-16,5136900785.0,241520846244.55695,13.45,1113288821937.2622,5003066606282.747
2018-08-17,4820086239.0,239642096573.0302,12.64,1081423047008.898,5014303774089.347
2018-08-20,4378257823.0,218418336759.6955,12.49,1097144803688.9381,5049163974394.452
2018-08-21,4844307085.0,237429924398.09988,12.86,1074122580239.5171,5073601044936.236
2018-08-22,4265234216.0,201959336601.4041,12.25,1097765480699.3855,5336331697563.025
2018-08-23,4526918152.0,215839127605.0324,12.41,1117127996269.5493,5368120018775.693
2018-08-24,4421343719.0,207776321644.66608,11.99,1143667696910.1328,5409175314873.586
2018-08-27,5128464644.0,234140093439.7357,12.16,1162344893319.0898,5430303698210.092
2018-08-28,4592008439.0,214407700948.6789,12.5,1237671363793.8801,5445439002621.901
2018-08-29,4636273462.0,225602237061.2724,12.25,1281073919556.8293,5496529137076.3
2018-08-30,4707814229.0,235201643175.19635,13.53,1297890617405.9297,5513843727029.01
2018-08-31,4699611750.0,234316022285.24945,12.86,1293963242302.9097,5536400685530.879
2018-09-04,5213276765.0,252817289848.6927,13.16,1281539761187.9172,5542255165762.845
2018-09-05,5745255768.0,289734171423.4692,13.91,1255324820619.1936,5539375584941.496
2018-09-06,5414100772.0,269004792824.2216,14.65,1244259829234.772,5548329248388.656
2018-09-07,5023495468.0,252018341024.29688,14.88,1233125490283.0928,5547210596443.632
2018-09-10,4695705135.0,230388647182.22937,14.16,1244370523487.7756,5577231568653.803
2018-09-11,5125703913.0,240393808733.70023,13.22,1254855979133.7056,5714107605578.471
